[info] Tokenizing...
[info] Tokens:
-----------+---------
      Type | Value
-----------+---------
IDENTIFIER | decl
IDENTIFIER | func
IDENTIFIER | add
 SEPARATOR | (
IDENTIFIER | x
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | ,
IDENTIFIER | y
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | )
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | ;
IDENTIFIER | decl
IDENTIFIER | func
IDENTIFIER | add2
 SEPARATOR | (
IDENTIFIER | x
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | ,
IDENTIFIER | y
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | ,
IDENTIFIER | z
 SEPARATOR | :
IDENTIFIER | real
 SEPARATOR | ,
IDENTIFIER | s
 SEPARATOR | :
IDENTIFIER | str
 SEPARATOR | )
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | ;
IDENTIFIER | func
IDENTIFIER | sub
 SEPARATOR | (
 SEPARATOR | )
 SEPARATOR | {
IDENTIFIER | return
 SEPARATOR | ;
 SEPARATOR | }
IDENTIFIER | var
IDENTIFIER | x
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | =
   INTEGER | 10
 SEPARATOR | ;
IDENTIFIER | var
IDENTIFIER | y
 SEPARATOR | :
IDENTIFIER | bool
 SEPARATOR | =
IDENTIFIER | true
 SEPARATOR | ;
IDENTIFIER | func
IDENTIFIER | main
 SEPARATOR | (
 SEPARATOR | )
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | {
IDENTIFIER | var
IDENTIFIER | a
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | =
   INTEGER | 10
 SEPARATOR | ,
IDENTIFIER | b
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | =
   INTEGER | 1
 SEPARATOR | ,
IDENTIFIER | c
 SEPARATOR | :
IDENTIFIER | bool
 SEPARATOR | =
IDENTIFIER | false
 SEPARATOR | ;
IDENTIFIER | var
IDENTIFIER | d
 SEPARATOR | :
IDENTIFIER | int
 SEPARATOR | =
   INTEGER | +3
 SEPARATOR | ;
IDENTIFIER | var
IDENTIFIER | e
 SEPARATOR | :
